"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Cuba","CUB","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1022","966","888","796","707","631","570","521","485","457","436","420","411","405","396","383","368","347","325","307","295","287","284","283","283","281","277","273","268","263","259","",
"Curacao","CUW","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","36","39","42","44","45","48","51","53","54","53","53","52","49","46","43","40","38","35","32","30","28","26","24","22","20","19","18","18","17","16","",
"Czechia","CZE","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","481","509","529","537","529","507","475","437","399","366","341","323","308","297","286","275","265","256","246","234","219","204","187","169","154","144","138","135","135","135","135","",
"Germany","DEU","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2545","2448","2382","2339","2303","2267","2240","2212","2177","2131","2072","2007","1920","1815","1696","1574","1468","1367","1274","1193","1123","1079","1046","1022","1004","985","970","950","927","901","875","",
"Djibouti","DJI","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","219","223","227","231","233","235","238","238","237","238","242","246","253","261","267","269","264","256","246","236","228","225","221","219","216","212","208","204","200","195","190","",
"Dominica","DMA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","5","5","5","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","3","3","3","3","3","2","2","2","2","",
"Denmark","DNK","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159","156","152","148","145","140","136","131","126","122","119","117","115","114","113","112","112","110","106","100","93","87","81","76","72","69","68","67","66","66","66","",
"Dominican Republic","DOM","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","1056","1092","1131","1173","1213","1249","1281","1309","1332","1350","1360","1367","1368","1367","1368","1361","1347","1322","1290","1243","1177","1112","1053","998","950","909","878","846","815","790","",
"Algeria","DZA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2963","3018","3074","3133","3182","3211","3206","3171","3108","3022","2919","2811","2693","2566","2440","2337","2268","2223","2175","2105","2025","1936","1852","1768","1689","1623","1572","1534","1520","1537","1577","",
"East Asia & Pacific (excluding high income)","EAP","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","204171","194232","184158","174477","166028","158903","152769","147324","143463","140723","139420","138427","138547","138470","147649","132858","126655","119053","117510","104043","98247","93598","89717","86542","83791","81293","79128","76917","74736","72519","70345","",
"Early-demographic dividend","EAR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","418784","416563","406604","404619","463989","404281","404172","404975","406333","409509","402890","398980","395148","393201","397277","387976","376835","371591","372104","358989","369165","342911","336309","328390","320065","313406","304993","297486","291322","283768","277024","",
